Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C5, C6, C7, C8, C9",0603,20,1uF,
"C13, C3, C4",0603,3,100nF,
"C24, C25, C30, C31",0603,4,10uF,
"C26, C27, C28, C29",0603,4,4.7uF,
D1,D_SOD-123,1,D_Shotkey,
"D2, D3, D4, D5, D6, D7",D_SOD-123,6,D,
"J1, J2",Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,2,Conn_01x30,
J3,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J6,JST_S2B-PH-SM4-TB(LF)(SN),1,S2B-PH-SM4,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Open,
"L1, L2",L_WPN4020H100MT,2,10uH,
Q1,SOT-363_SC-70-6,1,UMH3N,
"Q2, Q3",SOT-323_SC-70,2,Sil308EDL,
Q4,SOT-323_SC-70,1,WST2005,
"R1, R10, R11, R15, R4, R5, R6, R8",0603,8,10k,
"R12, R13",0603,2,5.1k,
R14,0603,1,1.2k,
"R2, R3",0603,2,3R,
"R7, R9",0603,2,1R,
SW1,TK-6580S-1,1,SW_DPDT_x2,
U1,MODULE_ESP32-WROOM-32D,1,ESP32-WROOM-32D,
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U3,SOT-23-5,1,ME6217C33M5G,
U4,HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm,1,TP4056,
USB1,MC-110LS-L100,1,USB_C_MC-110LS-L100,
